Title,Rating,Year,Duration,Votes,Director,MetaScore,Description,Rating Category,Predicted Rating Category
151. Удел человеческий,8.5,,N/A,8000,Unknown,0.0,"A Japanese pacifist, unable to face the dire consequences of conscientious objection, is transformed by his attempts to compromise with the demands of war-time Japan.",Excellent,Excellent
152. Неприятности в раю,7.9,,N/A,17000,Unknown,0.0,A gentleman thief and a lady pickpocket join forces to con a beautiful perfume company owner. Romantic entanglements and jealousies confuse the scheme.,Good,Excellent
153. Сталкер,8.0,,N/A,148000,Unknown,85.0,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Excellent,Excellent
154. Ребекка,8.1,,N/A,150000,Unknown,86.0,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Excellent,Excellent
"155. Жанна Дильман, набережная коммерции 23, Брюссель 1080",7.5,,N/A,15000,Unknown,94.0,"A lonely widowed housewife does her daily chores, takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. However, something happens that changes her safe routine.",Good,Excellent
156. Непрощенный,8.2,,N/A,445000,Unknown,85.0,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,Excellent,Excellent
157. Тонкий человек,7.9,,N/A,33000,Unknown,86.0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",Good,Excellent
158. Леди Ева,7.7,,N/A,24000,Unknown,96.0,"A trio of classy card sharks targets a socially awkward brewery heir, until one of them falls in love with him.",Good,Good
159. Рокко и его братья,8.2,,N/A,22000,Unknown,84.0,"Having recently been uprooted to Milan, Rocco and his four brothers each look for a new way in life when a prostitute comes between Rocco and his brother Simone.",Excellent,Excellent
160. Дорога,8.0,,N/A,68000,Unknown,0.0,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Excellent,Excellent
161. Война и мир,8.3,,N/A,6000,Unknown,0.0,The Russian aristocracy prepares for the French invasion on the eve of 1812.,Excellent,Excellent
162. Вкус сайры,8.0,,N/A,11000,Unknown,91.0,An aging widower arranges a marriage for his only daughter.,Excellent,Excellent
163. Шепоты и крики,7.9,,N/A,38000,Unknown,0.0,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Good,Good
164. Бен-Гур,8.1,,N/A,258000,Unknown,90.0,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",Excellent,Excellent
165. Рокки,8.1,,N/A,646000,Unknown,70.0,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Excellent,Excellent
166. Монти Пайтон и священный Грааль,8.2,,N/A,579000,Unknown,91.0,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Excellent,Excellent
167. Леди исчезает,7.7,,N/A,58000,Unknown,98.0,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",Good,Excellent
168. Звуки музыки,8.1,,N/A,268000,Unknown,63.0,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Excellent,Excellent
169. Красная борода,8.3,,N/A,22000,Unknown,90.0,"In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern.",Excellent,Excellent
170. Солярис,7.9,,N/A,100000,Unknown,93.0,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Good,Excellent
171. Красавица и чудовище,7.9,,N/A,29000,Unknown,92.0,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.",Good,Excellent
172. Бегущий по лезвию,8.1,,N/A,839000,Unknown,84.0,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Excellent,Excellent
173. Зеркало,7.9,,N/A,54000,Unknown,82.0,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Good,Excellent
174. Последний киносеанс,8.0,,N/A,54000,Unknown,93.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Excellent,Excellent
175. Дыра,8.5,,N/A,21000,Unknown,0.0,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.,Excellent,Excellent
176. Последний человек,8.0,,N/A,16000,Unknown,0.0,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",Excellent,Excellent
177. Самурай,8.0,,N/A,61000,Unknown,90.0,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Excellent,Excellent
178. Малыш,8.2,,N/A,138000,Unknown,0.0,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Excellent,Excellent
179. Клео от 5 до 7,7.8,,N/A,29000,Unknown,87.0,"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.",Good,Good
180. Ребенок Розмари,8.0,,N/A,244000,Unknown,96.0,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",Excellent,Excellent
181. Забытые,8.2,,N/A,22000,Unknown,0.0,"A group of juvenile delinquents live a violent and crime-filled life in the festering slums of Mexico City, as the morals of young Pedro are gradually corrupted and destroyed by the others.",Excellent,Excellent
182. Свидетель обвинения,8.4,,N/A,143000,Unknown,76.0,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Excellent,Excellent
183. Хладнокровный Люк,8.0,,N/A,192000,Unknown,92.0,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Excellent,Excellent
184. Моя прекрасная леди,7.7,,N/A,103000,Unknown,95.0,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.",Good,Good
"185. Париж, Техас",8.1,,N/A,126000,Unknown,81.0,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Excellent,Excellent
186. Цирк,8.1,,N/A,37000,Unknown,90.0,The Tramp finds work and the girl of his dreams at a circus.,Excellent,Excellent
187. Властелин колец: Возвращение короля,9.0,,N/A,2000000,Unknown,94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Excellent,Excellent
188. Фантазия,7.7,,N/A,106000,Unknown,96.0,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.",Good,Good
189. Восхождение,8.2,,N/A,11000,Unknown,0.0,"Two Soviet partisans on a mission to gather food contend with the winter cold, the occupying Germans, and their own psyches.",Excellent,Excellent
190. Цилиндр,7.7,,N/A,21000,Unknown,93.0,"An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",Good,Excellent
191. В прошлом году в Мариенбаде,7.6,,N/A,26000,Unknown,0.0,"In a strange and isolated chateau, a man becomes acquainted with a woman and insists that they have met before.",Good,Excellent
192. Ночь,7.9,,N/A,25000,Unknown,0.0,A day in the life of an unfaithful married couple and their steadily deteriorating relationship.,Good,Excellent
193. Шербурские зонтики,7.8,,N/A,32000,Unknown,86.0,A young woman separated from her lover by war faces a life-altering decision.,Good,Excellent
194. Кабинет доктора Калигари,8.0,,N/A,72000,Unknown,0.0,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Excellent,Excellent
195. Кто боится Вирджинии Вульф?,8.0,,N/A,81000,Unknown,75.0,"A middle-aged New England associate professor and his wife, with the help of alcohol, use their young guests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Excellent,Excellent
196. Сквозь тёмное стекло,7.9,,N/A,28000,Unknown,84.0,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God.",Good,Good
197. Великолепие Амберсонов,7.6,,N/A,27000,Unknown,93.0,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,Good,Excellent
198. Паттон,7.9,,N/A,110000,Unknown,86.0,The World War II phase of the career of controversial American general George S. Patton.,Good,Excellent
199. Мужские разборки,8.1,,N/A,37000,Unknown,97.0,"Four men plan a technically perfect crime, but the human element intervenes...",Excellent,Excellent
200. Вся президентская рать,7.9,,N/A,129000,Unknown,84.0,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",Good,Good
201. Конформист,7.9,,N/A,35000,Unknown,100.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Good,Excellent
202. Крупный план,8.2,,N/A,24000,Unknown,92.0,"The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film.",Excellent,Excellent
203. Ужасная правда,7.7,,N/A,22000,Unknown,87.0,"A married couple files an amicable divorce, but find letting go of each other harder than they originally thought.",Good,Good
204. Фауст,8.1,,N/A,17000,Unknown,0.0,The demon Mephisto wagers with God that he can corrupt a mortal man's soul.,Excellent,Excellent
205. Инопланетянин,7.9,,N/A,447000,Unknown,92.0,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,Good,Excellent
206. Удел человеческий 2,8.5,,N/A,8000,Unknown,0.0,"As a conscript in war-time Japan's military, a pacifist struggles to maintain his determination to keep his ideals.",Excellent,Excellent
207. Приключение,7.7,,N/A,33000,Unknown,0.0,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Good,Good
208. Из прошлого,8.0,,N/A,42000,Unknown,85.0,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",Excellent,Excellent
209. С собой не унесешь,7.8,,N/A,29000,Unknown,0.0,The son of a snobbish Wall Street banker becomes engaged to a woman from a good-natured but decidedly eccentric family not realizing that his father is trying to force her family from their home for a real estate development.,Good,Excellent
210. Назад в будущее,8.5,,N/A,3000000,Unknown,87.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Excellent,Excellent
211. Непокоренный,8.2,,N/A,16000,Unknown,0.0,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone.",Excellent,Excellent
212. Могила светлячков,8.5,,N/A,330000,Unknown,94.0,A young boy and his little sister struggle to survive in Japan during World War II.,Excellent,Excellent
213. На последнем дыхании,7.7,,N/A,90000,Unknown,0.0,"A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy.",Good,Excellent
214. Буч Кэссиди и Сандэнс Кид,8.0,,N/A,230000,Unknown,66.0,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels..",Excellent,Excellent
215. Глубокий сон,7.9,,N/A,92000,Unknown,86.0,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail--and what might be love.",Good,Good
216. Делай как надо,7.9,,N/A,116000,Unknown,93.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Good,Good
217. Американская ночь,8.0,,N/A,25000,Unknown,0.0,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.",Excellent,Excellent
218. Тень сомнения,7.8,,N/A,72000,Unknown,94.0,"A teenage girl, overjoyed when her uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is the ""Merry Widow"" killer sought by the authorities.",Good,Excellent
219. Унесённые призраками,8.6,,N/A,881000,Unknown,96.0,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Excellent,Excellent
220. Я - Куба,8.2,,N/A,11000,Unknown,91.0,Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,Excellent,Excellent
221. Толпа,8.1,,N/A,4000,Unknown,0.0,"The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles, and downfalls.",Excellent,Excellent
222. Жюль и Джим,7.7,,N/A,45000,Unknown,97.0,Decades of a love triangle concerning two friends and an impulsive woman.,Good,Excellent
223. Яркий летний день,8.2,,N/A,13000,Unknown,91.0,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.",Excellent,Excellent
224. Властелин колец: Братство кольца,8.9,,N/A,1000000,Unknown,92.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Excellent,Excellent
225. Человек-слон,8.2,,N/A,264000,Unknown,78.0,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",Excellent,Excellent
226. Восставшие,8.3,,N/A,15000,Unknown,90.0,"The mother of a feudal lord's only heir is kidnapped away from her husband by the lord. The husband and his samurai father must decide whether to accept the unjust decision, or risk death to get her back.",Excellent,Excellent
227. Ангел-истребитель,8.0,,N/A,36000,Unknown,0.0,The guests at an upper-class dinner party find themselves unable to leave.,Excellent,Excellent
228. Мистер Смит едет в Вашингтон,8.1,,N/A,124000,Unknown,73.0,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Excellent,Excellent
229. Весь этот джаз,7.8,,N/A,37000,Unknown,72.0,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",Good,Good
230. Моя дорогая Клементина,7.7,,N/A,27000,Unknown,0.0,"After their cattle are stolen and their brother murdered, the Earp brothers have a score to settle with the Clanton family.",Good,Excellent
231. Дерсу Узала,8.2,,N/A,34000,Unknown,0.0,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Excellent,Excellent
232. Взвод,8.1,,N/A,448000,Unknown,92.0,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Excellent,Excellent
233. Незнакомцы в поезде,7.9,,N/A,144000,Unknown,88.0,A psychopath tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,Good,Good
234. Три цвета: Красный,8.1,,N/A,112000,Unknown,100.0,A model discovers a retired judge is keen on invading people's privacy.,Excellent,Excellent
235. Марти,7.7,,N/A,28000,Unknown,82.0,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,Good,Good
236. Кабаре,7.8,,N/A,61000,Unknown,80.0,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,Good,Excellent
237. Скромное обаяние буржуазии,7.8,,N/A,48000,Unknown,93.0,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Good,Excellent
238. Белоснежка и семь гномов,7.6,,N/A,220000,Unknown,96.0,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",Good,Good
239. Амаркорд,7.8,,N/A,48000,Unknown,0.0,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Good,Excellent
240. Трон в крови,8.0,,N/A,57000,Unknown,0.0,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Excellent,Excellent
241. Потерянный уик-энд,7.9,,N/A,41000,Unknown,0.0,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Good,Excellent
242. Отныне и во веки веков,7.6,,N/A,52000,Unknown,85.0,"At a U.S. Army base in 1941 Hawaii, a pugilistic private is cruelly punished for refusing to join his unit's boxing team. Meanwhile, his commanding officer's wife and top NCO are indulging in a torrid love affair.",Good,Good
243. Обет,8.3,,N/A,1000,Unknown,0.0,"A simple yet devout Christian makes a vow to Saint Barbara after she saves his donkey, but everyone he meets seems determined to misunderstand his intentions. Will he be able to keep his promise in the end?",Excellent,Excellent
244. Чёрный нарцисс,7.7,,N/A,29000,Unknown,86.0,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",Good,Good
245. Жизнь куртизанки Охару,8.1,,N/A,8000,Unknown,0.0,Follows a woman's fight and survival amid the vicissitudes of life and the cruelty of society.,Excellent,Excellent
246. Мятеж на Баунти,7.6,,N/A,25000,Unknown,87.0,"First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.",Good,Good
247. Римские каникулы,8.0,,N/A,150000,Unknown,78.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,Excellent,Excellent
248. День гнева,8.1,,N/A,11000,Unknown,0.0,The young wife of an aging priest falls in love with his son amidst the horror of a merciless witch hunt in 17th-century Denmark.,Excellent,Excellent
249. Его девушка Пятница,7.8,,N/A,65000,Unknown,0.0,"A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from quitting and remarrying, using an exclusive interview with a death row convict as an enticement to buy himself some time to win her back.",Good,Good
250. Добрые сердца и короны,8.0,,N/A,40000,Unknown,0.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Excellent,Excellent
